Model name,Dataset ID,Dataset name,Adj. Best F1,rAUCROC,rAUCPR,VUSROC,VUSPR,Run name,ID,Timestamp
BETT_LP,109,1sddb40,0.540768540248544,0.7646878827564566,0.05683330425634968,0.7492618982868443,0.05487750345605817,smart-dew-524,n4ikx9bd,16-01-2024 10:10
BETT_LP,112,BIDMC1,0.9975011847191895,0.6474567852962174,0.05898716239590725,0.6479058685516864,0.06559928633842663,rose-sound-532,x6c3dnh2,16-01-2024 10:15
BETT_LP,115,CIMIS44AirTemperature3,0.9795864390094177,0.7524822306359169,0.20471638021532593,0.753143217910436,0.20000647337478777,fiery-frog-533,yqbjwvu0,16-01-2024 10:20
BETT_LP,117,CIMIS44AirTemperature5,0.9896855181462446,0.8154278222062832,0.22153231695588693,0.8076397321694948,0.22283803336512736,twilight-leaf-535,c90btp1b,16-01-2024 10:25
BETT_LP,120,ECG2,0.9999949000250098,0.8549891867634299,0.08025599747873849,0.8369657843825384,0.07803274819237443,worldly-disco-538,hnrykim2,16-01-2024 10:41
BETT_LP,121,ECG3,0.9803870626936937,0.7955000100540696,0.04376790227185202,0.7697197324014154,0.038539612634263615,eager-armadillo-544,h4muark6,16-01-2024 10:56
BETT_LP,130,GP711MarkerLFM5z4,0.9999949152792443,0.7254678997803986,0.06658659011476482,0.72655785590505,0.06826504669416843,iconic-snowflake-551,278x5bth,16-01-2024 11:02
BETT_LP,131,GP711MarkerLFM5z5,0.9719575299409647,0.7149361722041523,0.13939856289107835,0.7242918949016361,0.13819644627481362,comfy-sun-553,czqe11qw,16-01-2024 11:08
BETT_LP,141,InternalBleeding5,0.999994941201474,0.6719160646569837,0.15976296010712357,0.6926715364810345,0.18736621058812525,good-sunset-555,upv7w02m,16-01-2024 11:13
BETT_LP,149,Lab2Cmac011215EPG5,0.9774385381000655,0.6459639643998606,0.02071993403585206,0.6293338515385271,0.019538452606794682,lyric-armadillo-556,gqod0k0f,16-01-2024 11:26
BETT_LP,150,Lab2Cmac011215EPG6,0.0984790461519545,0.5034747842657454,0.01391523060871527,0.480309552027813,0.013721357537495026,clear-wind-526,ddq6c5hg,16-01-2024 10:02
BETT_LP,151,MesoplodonDensirostris,0.8443222534237992,0.7139323092142308,0.033427801442064115,0.71831237199713,0.036102526698468446,fresh-plant-529,3dconzyu,16-01-2024 10:21
BETT_LP,152,PowerDemand1,0.44181114773272606,0.5593790851645786,0.025220169897779206,0.5444316121347063,0.025399838736107294,expert-flower-536,o12lgkzb,16-01-2024 10:40
BETT_LP,157,TkeepFirstMARS,0.15463773250259882,0.7556828593053718,0.005459338263431755,0.7567881498825114,0.0054776059270134235,daily-energy-543,yo40rvoe,16-01-2024 10:48
BETT_LP,159,TkeepSecondMARS,0.999994000026,0.9282661974092552,0.3926092321356751,0.9144656586511402,0.4004296833349568,driven-tree-546,58kpovus,16-01-2024 10:56
BETT_LP,162,WalkingAceleration5,0.9999948305335032,0.8878241019990202,0.1353217712148168,0.8738988544707734,0.12512468038596097,dainty-haze-549,5qbthycv,16-01-2024 11:01
